time,gain
40.797,80.59
40.899,79.80
41.001,79.80
41.103,79.80
41.204,83.83
41.306,83.83
41.410,83.83
41.512,67.46
41.613,67.46
41.718,50.81
41.820,50.81
41.921,50.81
42.023,81.75
42.124,81.75
42.226,81.75
42.328,82.17
42.430,82.17
42.534,82.17
42.637,82.72
42.739,82.72
42.840,82.72
42.943,81.53
43.045,81.53
43.148,81.53
43.250,81.46
43.352,81.46
43.454,81.46
43.556,82.39
43.658,82.39
43.760,82.39
43.862,83.03
43.964,83.03
44.070,83.03
44.172,83.16
44.274,83.16
44.377,83.16
44.479,83.53
44.580,83.53
44.681,83.53
44.784,86.27
44.886,86.27
44.987,86.27
45.089,83.68
45.191,83.68
45.293,83.68
45.395,83.77
45.497,83.77
45.598,83.77
45.700,82.98
45.802,82.98
45.904,82.98
46.006,86.10
46.109,86.10
46.211,86.10
46.313,72.53
46.415,72.53
46.517,72.53
46.619,83.29
46.722,83.29
46.824,82.31
46.930,82.31
47.032,82.31
47.134,83.77
47.237,83.77
47.338,83.77
47.441,82.52
47.542,82.52
47.644,82.52
47.745,81.66
47.846,81.66
47.947,81.66
48.048,83.33
48.149,83.33
48.250,83.33
48.351,81.37
48.452,81.37
48.553,81.37
48.655,81.49
48.757,81.49
48.859,81.49
48.961,86.16
49.063,86.16
49.167,86.16
49.271,84.13
49.373,84.13
49.475,84.13
49.577,85.74
49.679,85.74
49.781,85.74
49.884,82.26
49.986,82.26
50.088,82.26
50.192,82.09
50.295,82.09
50.396,82.09
50.498,83.65
50.600,83.65
50.702,83.65
50.804,83.58
50.906,83.58
51.007,83.58
51.110,82.33
51.213,82.33
51.314,82.33
51.416,83.00
51.518,83.00
51.621,83.00
51.723,83.00
51.824,83.00
51.930,83.00
52.031,82.44
52.133,82.44
52.235,81.30
52.337,81.30
52.441,81.30
52.542,82.38
52.645,82.38
52.747,82.38
52.849,80.29
52.951,80.29
53.052,80.29
53.155,80.58
53.258,80.58
53.360,80.58
53.461,79.71
53.563,79.71
53.666,79.71
53.767,80.90
53.869,80.90
53.970,80.90
54.073,84.99
54.175,84.99
54.277,84.99
54.380,82.71
54.481,82.71
54.583,82.71
54.685,82.58
54.787,82.58
54.894,82.58
54.997,82.13
55.098,82.13
55.200,82.13
55.302,80.98
55.404,80.98
55.510,80.98
55.612,80.75
55.714,80.75
55.816,80.75
55.918,82.98
56.019,82.98
56.122,82.98
56.224,82.20
56.326,82.20
56.428,82.20
56.529,80.23
56.633,80.23
56.735,80.23
56.838,81.34
56.940,81.34
57.042,81.34
57.142,72.69
57.243,72.69
57.345,72.69
57.446,83.59
57.547,83.59
57.648,83.18
57.749,83.18
57.851,83.18
57.953,81.52
58.054,81.52
58.156,81.52
58.258,80.44
58.359,80.44
58.464,80.44
58.567,81.32
58.669,81.32
58.770,81.32
58.872,81.09
58.974,81.09
59.077,81.09
59.180,83.01
59.282,83.01
59.384,83.01
59.486,83.18
59.590,83.18
59.693,83.18
59.795,84.09
59.897,84.09
59.999,84.09
60.101,83.82
60.204,83.82
60.306,83.82
60.409,82.62
60.509,82.62
60.611,82.62
60.712,82.56
60.814,82.56
60.916,82.56
61.018,80.79
61.121,80.79
61.223,80.79
61.325,83.47
61.426,83.47
61.527,83.47
61.630,84.67
61.732,84.67
61.837,84.67
61.939,83.13
62.041,83.13
62.143,83.13
62.245,81.96
