time,gain
40.757,82.49
40.859,84.53
40.960,84.53
41.062,84.53
41.163,83.79
41.265,83.79
41.371,86.13
41.472,86.13
41.573,86.13
41.676,84.19
41.777,84.19
41.882,84.19
41.984,84.28
42.086,84.28
42.188,84.28
42.290,83.88
42.391,83.88
42.492,83.88
42.593,87.48
42.694,87.48
42.795,87.48
42.896,85.53
42.997,85.53
43.099,85.53
43.201,85.83
43.302,85.83
43.403,85.83
43.504,84.79
43.605,84.79
43.706,84.79
43.808,85.70
43.909,85.70
44.011,85.70
44.112,85.90
44.213,85.90
44.314,85.90
44.415,87.43
44.516,87.43
44.617,87.43
44.718,86.08
44.819,86.08
44.920,86.08
45.022,85.47
45.123,85.47
45.224,85.47
45.326,85.96
45.427,85.96
45.527,85.96
45.629,85.34
45.730,85.34
45.831,85.34
45.933,86.55
46.034,86.55
46.135,86.55
46.237,87.53
46.338,87.53
46.439,87.53
46.540,89.02
46.641,89.02
46.742,89.02
46.843,87.01
46.945,87.01
47.046,87.01
47.147,88.09
47.248,88.09
47.350,88.09
47.451,88.39
47.553,88.39
47.654,88.39
47.755,88.12
47.857,88.12
47.958,88.12
48.060,84.13
48.161,84.13
48.263,84.13
48.364,87.53
48.466,87.53
48.567,87.53
48.668,86.89
48.769,86.89
48.870,86.89
48.971,86.63
49.072,86.63
49.173,86.63
49.274,85.82
49.375,85.82
49.476,85.82
49.577,61.23
49.679,61.23
49.782,83.63
49.883,83.63
49.984,83.63
50.086,83.89
50.187,83.89
50.290,83.89
50.391,84.43
50.493,84.43
50.594,84.43
50.697,83.93
50.798,83.93
50.900,83.93
51.002,83.29
51.104,83.29
51.205,83.29
51.308,85.63
51.409,85.63
51.511,85.63
51.613,82.34
51.715,82.34
51.817,82.34
51.919,82.21
52.020,82.21
52.122,82.21
52.224,82.63
52.328,82.63
52.429,82.63
52.531,81.85
52.633,81.85
52.735,81.85
52.839,83.07
52.941,83.07
53.043,83.07
53.145,81.38
53.247,81.38
53.349,81.38
53.450,80.89
53.551,80.89
53.653,80.89
53.755,81.72
53.857,81.72
53.959,81.72
54.061,82.71
54.162,82.71
54.265,82.71
54.366,81.07
54.468,81.07
54.569,81.07
54.671,80.08
54.773,80.08
54.875,80.08
54.977,82.08
55.079,82.08
55.181,82.08
55.283,81.68
55.387,81.68
55.488,81.68
55.589,73.22
55.690,73.22
55.792,81.75
55.895,81.75
55.996,81.75
56.098,81.91
56.199,81.91
56.300,81.91
56.403,82.15
56.505,82.15
56.606,82.15
56.708,80.33
56.810,80.33
56.912,80.33
57.014,82.05
57.116,82.05
57.218,82.05
57.320,84.04
57.422,84.04
57.524,84.04
57.626,84.76
57.727,84.76
57.831,84.76
57.933,82.16
58.035,82.16
58.137,82.16
58.239,83.24
58.340,83.24
58.442,83.24
58.544,82.90
58.650,82.90
58.752,82.90
58.854,81.66
58.955,81.66
59.057,81.66
59.159,81.81
59.262,81.81
59.363,81.81
59.465,83.93
59.567,83.93
59.669,83.93
59.770,84.33
59.872,84.33
59.974,84.33
60.076,84.63
60.178,84.63
60.280,84.63
60.382,84.53
60.484,84.53
60.586,84.53
60.687,83.74
60.788,83.74
