time,gain
41.080,94.81
41.183,94.11
41.292,94.11
41.396,94.11
41.498,93.64
41.599,93.64
41.700,93.64
41.803,94.13
41.906,94.13
42.012,94.13
42.114,93.73
42.217,93.73
42.319,93.73
42.422,93.85
42.524,93.85
42.627,93.85
42.728,94.61
42.832,94.61
42.933,94.61
43.035,88.07
43.137,88.07
43.238,95.70
43.340,95.70
43.442,95.70
43.544,93.81
43.647,93.81
43.748,93.81
43.851,94.54
43.954,94.54
44.056,94.54
44.159,94.21
44.261,94.21
44.364,94.21
44.466,93.44
44.568,93.44
44.672,93.44
44.774,95.43
44.876,95.43
44.978,95.43
45.081,94.57
45.183,94.57
45.286,94.57
45.388,94.21
45.491,94.21
45.594,94.21
45.696,93.88
45.797,93.88
45.900,93.88
46.002,94.51
46.105,94.51
46.206,94.51
46.316,94.66
46.421,94.66
46.523,94.66
46.624,93.49
46.725,93.49
46.828,93.49
46.930,94.21
47.033,94.21
47.135,94.21
47.237,94.95
47.340,94.95
47.444,94.72
47.545,94.72
47.649,94.72
47.751,94.27
47.853,94.27
47.955,94.27
48.057,94.98
48.160,94.98
48.262,94.98
48.365,93.80
48.468,93.80
48.570,93.80
48.674,93.03
48.777,93.03
48.878,93.03
48.980,94.22
49.082,94.22
49.184,94.22
49.286,95.30
49.391,95.30
49.494,95.30
49.596,94.86
49.698,94.86
49.800,94.86
49.903,94.82
50.005,94.82
50.107,94.82
50.209,94.26
50.313,94.26
50.416,94.26
50.518,95.04
50.620,95.04
50.722,95.04
50.824,95.70
50.926,95.70
51.028,95.70
51.130,96.12
51.235,96.12
51.338,96.12
51.441,94.87
51.544,94.87
51.646,94.87
51.748,95.73
51.852,95.73
51.955,96.83
52.057,96.83
52.159,96.83
52.261,95.55
52.362,95.55
52.464,95.55
52.566,94.87
52.668,94.87
52.770,94.87
52.872,96.35
52.973,96.35
53.075,96.35
53.178,96.78
53.281,96.78
53.383,96.78
53.485,96.01
53.588,96.01
53.690,96.01
53.793,95.34
53.895,95.34
53.998,95.34
54.100,95.15
54.203,95.15
54.305,95.15
54.408,94.74
54.510,94.74
54.611,94.74
54.714,94.96
54.816,94.96
54.919,94.96
55.021,96.80
55.123,96.80
55.225,96.80
55.327,95.87
55.430,95.87
55.532,95.87
55.634,94.37
55.736,94.37
55.839,94.37
55.941,95.63
56.043,95.63
56.145,95.63
56.248,96.07
56.350,96.07
56.452,96.07
56.557,94.88
56.659,94.88
56.761,94.88
56.863,95.56
56.966,95.56
57.069,95.40
57.172,95.40
57.274,95.40
57.377,93.06
57.479,93.06
57.580,93.06
57.683,94.32
57.786,94.32
57.891,94.32
57.993,92.47
58.094,92.47
58.198,92.47
58.300,94.90
58.403,94.90
58.505,94.90
58.608,94.89
58.710,94.89
58.813,94.89
58.916,93.63
59.018,93.63
59.120,93.63
59.222,94.92
59.325,94.92
59.427,94.92
59.528,94.65
59.632,94.65
59.734,94.65
59.836,94.09
59.938,94.09
60.041,94.09
60.143,93.99
60.246,93.99
60.348,93.99
60.451,93.03
60.554,93.03
60.656,93.03
60.759,91.87
60.863,91.87
60.965,91.87
61.068,92.62
61.171,92.62
61.275,86.16
61.377,86.16
61.480,86.16
61.582,94.70
61.684,94.70
61.786,94.70
61.890,95.12
61.993,95.12
62.097,95.12
62.199,94.74
62.302,94.74
62.404,94.74
62.506,94.26
62.610,94.26
62.712,94.26
62.814,95.55
62.916,95.55
63.018,95.55
63.120,95.00
63.223,95.00
63.325,95.00
